"KEGGID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"
"20"	"04144"	0.00030127701498005	6.35502577319588	1.33566195263248	7	201	"Endocytosis"
"21"	"05221"	0.00051071518700415	12.4571428571429	0.378769807462941	4	57	"Acute myeloid leukemia"
"22"	"05142"	0.000565847290935907	8.51307189542484	0.691088771511331	5	104	"Chagas disease (American trypanosomiasis)"
"23"	"04660"	0.000672716154527682	8.17675613934894	0.717669108877151	5	108	"T cell receptor signaling pathway"
"24"	"05214"	0.000842599743288192	10.8084309133489	0.431930482194582	4	65	"Glioma"
"25"	"05120"	0.000999143847002011	10.2964285714286	0.451865735218947	4	68	"Epithelial cell signaling in Helicobacter pylori infection"
"26"	"05416"	0.00111424196431032	9.98095238095238	0.465155903901857	4	70	"Viral myocarditis"
"27"	"04062"	0.00138517643757301	5.61053154495777	1.25592094053501	6	189	"Chemokine signaling pathway"
"28"	"04380"	0.00144931667541829	6.82329029172645	0.850570795706253	5	128	"Osteoclast differentiation"
"29"	"04664"	0.00174928412877257	8.76952380952381	0.524961662974953	4	79	"Fc epsilon RI signaling pathway"
"30"	"05222"	0.00229098699966455	8.11146384479718	0.564832169023684	4	85	"Small cell lung cancer"
"31"	"05219"	0.00260403529047216	12.3739316239316	0.279093542341114	3	42	"Bladder cancer"
"32"	"04630"	0.00335794208685205	5.56862745098039	1.02998807292554	5	155	"Jak-STAT signaling pathway"
"33"	"04912"	0.00428129110896903	6.75463917525773	0.671153518486965	4	101	"GnRH signaling pathway"
"34"	"05223"	0.0053257386411057	9.44281045751634	0.358834554438576	3	54	"Non-small cell lung cancer"
"35"	"05130"	0.00589769583446845	9.08333333333333	0.372124723121486	3	56	"Pathogenic Escherichia coli infection"
"36"	"05131"	0.00748437457911566	8.29310344827586	0.405350144828761	3	61	"Shigellosis"
"37"	"04320"	0.0108297890406798	14.2702702702703	0.159482024194922	2	24	"Dorso-ventral axis formation"
"38"	"05100"	0.0109258712177601	7.16791044776119	0.465155903901857	3	70	"Bacterial invasion of epithelial cells"
"39"	"04530"	0.0109368901650964	5.09107142857143	0.877151133072074	4	132	"Tight junction"
"40"	"05218"	0.0113560499964615	7.06127450980392	0.471800988243312	3	71	"Melanoma"
"41"	"04910"	0.0127246944718383	4.85799573560768	0.917021639120804	4	138	"Insulin signaling pathway"
"42"	"04370"	0.0136534852611212	6.57191780821918	0.505026409950588	3	76	"VEGF signaling pathway"
"43"	"05216"	0.0156019209817926	11.6176176176176	0.192707445902198	2	29	"Thyroid cancer"
"44"	"04540"	0.0214106867644613	5.50095785440613	0.598057590730959	3	90	"Gap junction"
"45"	"03030"	0.0235148645539403	9.21462639109698	0.239223036292384	2	36	"DNA replication"
"46"	"04666"	0.0239904083750661	5.25549450549451	0.62463792809678	3	94	"Fc gamma R-mediated phagocytosis"
"47"	"04620"	0.0296366305822899	4.82407407407407	0.677798602828421	3	102	"Toll-like receptor signaling pathway"
"48"	"03040"	0.05140630198942	3.83467741935484	0.843925711364798	3	127	"Spliceosome"
"49"	"04810"	0.0515044825443119	3.07368421052632	1.41540296472994	4	213	"Regulation of actin cytoskeleton"
"50"	"04360"	0.0534109141745592	3.77248677248677	0.857215880047708	3	129	"Axon guidance"
"51"	"05145"	0.0564885652018105	3.6828165374677	0.877151133072074	3	132	"Toxoplasmosis"
"52"	"04920"	0.0745107300125647	4.72072072072072	0.451865735218947	2	68	"Adipocytokine signaling pathway"
"53"	"04115"	0.0745107300125647	4.72072072072072	0.451865735218947	2	68	"p53 signaling pathway"
"54"	"04622"	0.0802894611693219	4.51312181746964	0.471800988243312	2	71	"RIG-I-like receptor signaling pathway"
"55"	"05140"	0.0822464186510489	4.44787644787645	0.478446072584767	2	72	"Leishmaniasis"
